TEAM_ID,SEASON,GP_non_clutch,GP_clutch,WINS_non_clutch,WINS_clutch,WIN_PCT_non_clutch,WIN_PCT_clutch,TEAM_NAME
1610612743,2020,65.0,23.0,41.0,13.0,0.6307692307692307,0.5652173913043478,Denver Nuggets
1610612743,2021,66.0,26.0,36.0,14.0,0.5454545454545454,0.5384615384615384,Denver Nuggets
1610612743,2022,23.0,12.0,13.0,9.0,0.5652173913043478,0.75,Denver Nuggets
1610612744,2003,68.0,21.0,34.0,7.0,0.5,0.3333333333333333,Golden State Warriors
1610612744,2004,58.0,27.0,24.0,12.0,0.41379310344827586,0.4444444444444444,Golden State Warriors
1610612744,2005,59.0,30.0,24.0,12.0,0.4067796610169492,0.4,Golden State Warriors
1610612744,2006,69.0,30.0,38.0,14.0,0.5507246376811594,0.4666666666666667,Golden State Warriors
1610612744,2007,63.0,24.0,37.0,14.0,0.5873015873015873,0.5833333333333334,Golden State Warriors
1610612744,2008,60.0,27.0,23.0,9.0,0.38333333333333336,0.3333333333333333,Golden State Warriors
1610612744,2009,69.0,21.0,24.0,6.0,0.34782608695652173,0.2857142857142857,Golden State Warriors
1610612744,2010,68.0,22.0,31.0,8.0,0.45588235294117646,0.36363636363636365,Golden State Warriors
1610612744,2011,45.0,23.0,16.0,8.0,0.35555555555555557,0.34782608695652173,Golden State Warriors
1610612744,2012,77.0,24.0,41.0,17.0,0.5324675324675324,0.7083333333333334,Golden State Warriors
1610612744,2013,61.0,35.0,39.0,18.0,0.639344262295082,0.5142857142857142,Golden State Warriors
1610612744,2014,89.0,22.0,72.0,17.0,0.8089887640449438,0.7727272727272727,Golden State Warriors
1610612744,2015,95.0,18.0,77.0,14.0,0.8105263157894737,0.7777777777777778,Golden State Warriors
1610612744,2016,90.0,16.0,80.0,9.0,0.8888888888888888,0.5625,Golden State Warriors
1610612744,2017,89.0,18.0,64.0,12.0,0.7191011235955056,0.6666666666666666,Golden State Warriors
1610612744,2018,75.0,34.0,53.0,19.0,0.7066666666666667,0.5588235294117647,Golden State Warriors
1610612744,2019,58.0,12.0,14.0,3.0,0.2413793103448276,0.25,Golden State Warriors
